msoa,index-of-transport-accessibility
E02003978,23
E02003979,21
E02003980,21
E02003981,19
E02003982,18
E02003983,18
E02003984,16
E02003985,14
E02003986,15
E02003987,27
E02003988,28
E02003989,38
E02003990,35
E02003991,35
E02003992,33
E02003993,34
E02003994,33
E02003995,34
E02003996,36
E02003997,40
E02003998,41
E02003999,40
E02004000,28
E02004001,23
E02004002,22
E02004003,21
E02004004,20
E02004005,21
E02004006,20
E02004007,23
E02004008,39
E02004009,54
E02004010,55
E02004011,52
E02004012,63
E02004013,48
E02004014,68
E02004015,37
E02004016,55
E02004017,68
E02004018,97
E02004019,99
E02004020,100
E02004021,62
E02004022,40
E02004023,85
E02004024,171
E02004025,159
E02004026,39
E02004027,48
E02004028,32
E02004290,314
E02004291,315
E02004292,321
E02004293,309
E02004294,309
E02004295,339
E02004296,289
E02004297,259
E02004298,220
E02004299,305
E02004300,245
E02004301,302
E02004302,274
E02004303,220
E02004304,216
E02004305,218
E02004306,246
E02004307,245
E02004308,309
E02004309,306
E02004310,271
E02004311,332
E02004312,332
E02004313,330
E02004314,326
E02004315,311
E02004316,219
E02004317,272
E02004318,336
E02004319,337
E02004320,327
E02004321,318
E02004322,327
E02004323,329
E02004324,328
E02004325,327
E02004326,331
E02004327,322
E02004328,335
E02004329,61
E02004330,324
E02004331,334
E02004332,333
E02004333,304
E02004334,326
E02004335,321
E02004336,333
E02004337,314
E02004338,327
E02004339,325
E02004340,304
E02004341,321
E02004342,309
E02004343,311
E02004344,310
E02004345,232
E02004346,62
E02004347,117
E02004348,69
E02004349,122
E02004350,161
E02004351,252
E02004352,309
E02004353,280
E02004354,262
E02004355,291
E02005176,399
E02005177,445
E02005178,514
E02005179,637
E02005180,654
E02005181,728
E02005182,501
E02005183,424
E02005184,276
E02005185,638
E02005186,755
E02005189,803
E02005190,751
E02005191,786
E02005192,763
E02005193,742
E02005194,756
E02005195,501
E02005196,690
E02005197,678
E02005198,669
E02005199,653
E02005200,682
E02005201,649
E02005202,680
E02005203,342
E02005204,491
E02005205,407
E02005206,254
E02005207,244
E02005208,214
E02005209,271
E02005210,171
E02005211,305
E02005212,511
E02005213,678
E02005214,675
E02005215,698
E02005216,711
E02005217,625
E02005218,597
E02005219,688
E02005220,641
E02005221,204
E02005222,164
E02005223,193
E02005224,158
E02005225,292
E02005226,142
E02005228,110
E02005229,88
E02005230,160
E02005231,196
E02005233,179
E02005234,164
E02005235,189
E02005236,101
E02005237,191
E02005238,258
E02005239,323
E02005240,241
E02005241,297
E02005242,255
E02005243,537
E02005244,597
E02005245,438
E02005246,562
E02005247,575
E02005248,583
E02005249,533
E02005250,563
E02005251,488
E02005252,566
E02005253,523
E02005254,677
E02005255,721
E02005256,718
E02005257,597
E02005258,636
E02005259,713
E02005260,580
E02005261,688
E02005262,506
E02005263,582
E02005264,524
E02005265,419
E02005266,707
E02005267,619
E02005268,710
E02005269,592
E02005270,273
E02005271,339
E02005272,301
E02005273,297
E02005274,549
E02005275,354
E02005276,527
E02005277,523
E02005278,579
E02005279,778
E02005280,314
E02005281,776
E02005284,787
E02005285,897
E02005286,490
E02005287,620
E02005288,722
E02005289,680
E02005290,755
E02005291,691
E02005292,701
E02005293,790
E02005294,748
E02005295,785
E02005296,696
E02005297,654
E02005298,752
E02005299,777
E02005300,700
E02005301,741
E02005302,790
E02005303,719
E02005304,366
E02005305,275
E02005306,379
E02005307,567
E02005308,778
E02005309,642
E02005310,706
E02005311,791
E02005312,788
E02005313,793
E02005314,791
E02005315,691
E02005316,797
E02005317,822
E02005318,806
E02005319,75
E02005320,69
E02005321,82
E02005322,125
E02005323,93
E02005324,175
E02005325,206
E02005326,120
E02005327,231
E02005328,148
E02005329,135
E02005330,160
E02005331,216
E02005332,231
E02005702,108
E02005703,117
E02005704,130
E02005705,136
E02005706,5
E02005707,5
E02005708,12
E02005709,215
E02005710,201
E02005711,208
E02005712,210
E02005713,207
E02005714,236
E02005715,238
E02005716,246
E02005717,228
E02005718,258
E02005719,256
E02005720,202
E02005721,219
E02005722,225
E02005723,216
E02005724,223
E02005725,247
E02005726,248
E02005727,75
E02005728,71
E02005729,224
E02005730,185
E02005731,227
E02005732,223
E02005733,165
E02005734,204
E02005735,199
E02005736,210
E02005737,192
E02005738,203
E02005739,199
E02005740,215
E02005741,214
E02005742,111
E02005743,111
E02005744,104
E02005745,169
E02005746,169
E02005747,172
E02005748,208
E02005749,187
E02005750,233
E02005751,228
E02005752,221
E02005753,209
E02005754,201
E02005755,275
E02005756,367
E02005757,309
E02005758,290
E02005759,144
E02005760,224
E02005761,115
E02005762,256
E02005763,436
E02005764,324
E02005765,455
E02005766,78
E02005767,300
E02005768,247
E02005769,391
E02005770,213
E02005771,191
E02005772,429
E02005773,239
E02005774,316
E02005775,219
E02005776,466
E02005777,363
E02005778,230
E02005779,260
E02005780,249
E02005781,376
E02005782,346
E02005783,233
E02005784,286
E02005785,209
E02005786,59
E02005787,122
E02005788,58
E02005789,56
E02005790,107
E02005791,49
E02005794,83
E02005795,41
E02005796,73
E02005797,41
E02005798,20
E02005799,26
E02005800,26
E02005801,25
E02005802,26
E02005803,26
E02005804,26
E02005805,25
E02005806,26
E02005807,28
E02005808,23
E02005809,462
E02005810,7
E02005811,211
E02005812,460
E02005813,258
E02005814,304
E02005815,375
E02005816,401
E02005817,564
E02005818,560
E02006803,278
E02006811,266
E02006812,306
E02006813,192
E02006814,149
E02006841,312
E02006842,309
E02006843,286
E02006844,250
E02006852,355
E02006860,890
E02006861,487
E02006868,351
E02006869,317
E02006870,54
E02006871,238
E02006875,629
E02006876,695
E02006881,564
E02006884,570
E02006891,60
E02006892,75
E02006893,269
E02006902,703
E02006909,300
E02006910,221
E02006912,778
E02006913,739
E02006914,789
E02006915,764
E02006916,805
E02006917,808
E02006932,489
E02006933,359
E02006934,367
