msoa,index-of-transport-accessibility
E02003804,22
E02003805,10
E02003806,19
E02003807,22
E02003808,14
E02003809,1
E02003810,1
E02003811,7
E02003812,43
E02003813,16
E02003814,16
E02003815,4
E02003816,4
E02003817,4
E02003818,46
E02003819,16
E02003820,20
E02003821,13
E02003822,10
E02003823,21
E02003824,18
E02003825,13
E02003826,16
E02003827,14
E02003828,14
E02003829,24
E02003830,24
E02003831,22
E02003832,32
E02003833,10
E02003834,31
E02003835,11
E02003836,10
E02003837,5
E02003838,4
E02003839,19
E02003840,3
E02003841,2
E02003842,3
E02003843,15
E02003844,2
E02003845,15
E02003846,15
E02003847,15
E02003848,16
E02003849,15
E02003850,17
E02003851,12
E02003852,15
E02003853,13
E02003854,57
E02003855,36
E02003856,106
E02003857,55
E02003858,74
E02003859,4
E02003860,10
E02003861,4
E02003862,50
E02003863,39
E02003864,62
E02003865,2
E02003866,28
E02003867,11
E02003868,70
E02003869,11
E02003870,38
E02003871,11
E02003872,3
E02003873,10
E02003874,16
E02003875,2
E02003876,5
E02003877,1
E02003878,22
E02003879,6
E02003880,8
E02003881,14
E02003882,6
E02003883,10
E02003884,15
E02003885,11
E02003886,13
E02003887,6
E02003888,7
E02003889,6
E02003890,14
E02003891,1
E02003965,5
E02003966,1
E02003967,1
E02003968,2
E02003969,2
E02003970,1
E02003971,1
E02003972,1
E02003973,6
E02003974,3
E02003975,3
E02003976,1
E02003977,1
E02003978,7
E02003979,9
E02003980,5
E02003981,9
E02003982,4
E02003983,6
E02003984,10
E02003985,2
E02003986,2
E02003987,7
E02003988,4
E02003989,7
E02003990,7
E02003991,4
E02003992,14
E02003993,3
E02003994,8
E02003995,6
E02003996,9
E02003997,3
E02003998,7
E02003999,3
E02004000,2
E02004001,8
E02004002,3
E02004003,1
E02004004,3
E02004005,5
E02004006,1
E02004007,1
E02004008,1
E02004009,1
E02004010,2
E02004011,2
E02004012,1
E02004013,1
E02004014,1
E02004015,5
E02004016,5
E02004017,6
E02004018,7
E02004019,5
E02004020,6
E02004021,1
E02004022,1
E02004023,1
E02004024,2
E02004025,2
E02004026,7
E02004027,1
E02004028,6
E02004290,54
E02004291,77
E02004292,88
E02004293,65
E02004294,65
E02004295,54
E02004296,49
E02004297,26
E02004298,13
E02004299,36
E02004300,15
E02004301,41
E02004302,33
E02004303,24
E02004304,8
E02004305,6
E02004306,19
E02004307,29
E02004308,42
E02004309,70
E02004310,31
E02004311,26
E02004312,57
E02004313,63
E02004314,62
E02004315,88
E02004316,21
E02004317,30
E02004318,47
E02004319,32
E02004320,67
E02004321,64
E02004322,70
E02004323,41
E02004324,52
E02004325,49
E02004326,43
E02004327,42
E02004328,58
E02004329,55
E02004330,39
E02004331,34
E02004332,38
E02004333,30
E02004334,34
E02004335,25
E02004336,23
E02004337,29
E02004338,34
E02004339,32
E02004340,26
E02004341,29
E02004342,29
E02004343,29
E02004344,30
E02004345,10
E02004346,2
E02004347,2
E02004348,1
E02004349,14
E02004350,21
E02004351,25
E02004352,27
E02004353,27
E02004354,13
E02004355,27
E02005176,26
E02005177,26
E02005178,27
E02005179,38
E02005180,37
E02005181,36
E02005182,29
E02005183,26
E02005184,11
E02005185,40
E02005186,24
E02005189,52
E02005190,11
E02005191,31
E02005192,48
E02005193,78
E02005194,57
E02005195,18
E02005196,41
E02005197,60
E02005198,64
E02005199,12
E02005200,59
E02005201,42
E02005202,66
E02005203,5
E02005204,32
E02005205,32
E02005206,21
E02005207,19
E02005208,27
E02005209,29
E02005210,23
E02005211,25
E02005212,34
E02005213,37
E02005214,58
E02005215,41
E02005216,37
E02005217,37
E02005218,44
E02005219,44
E02005220,44
E02005221,17
E02005222,5
E02005223,16
E02005224,28
E02005225,5
E02005226,17
E02005228,16
E02005229,16
E02005230,16
E02005231,27
E02005233,25
E02005234,54
E02005235,29
E02005236,16
E02005237,47
E02005238,26
E02005239,18
E02005240,12
E02005241,14
E02005242,20
E02005243,27
E02005244,27
E02005245,30
E02005246,27
E02005247,24
E02005248,28
E02005249,23
E02005250,28
E02005251,19
E02005252,26
E02005253,14
E02005254,14
E02005255,38
E02005256,25
E02005257,38
E02005258,33
E02005259,44
E02005260,52
E02005261,47
E02005262,26
E02005263,47
E02005264,56
E02005265,45
E02005266,60
E02005267,72
E02005268,53
E02005269,130
E02005270,5
E02005271,12
E02005272,12
E02005273,14
E02005274,4
E02005275,23
E02005276,15
E02005277,27
E02005278,52
E02005279,40
E02005280,22
E02005281,66
E02005284,28
E02005285,59
E02005286,43
E02005287,71
E02005288,31
E02005289,47
E02005290,55
E02005291,53
E02005292,40
E02005293,55
E02005294,51
E02005295,51
E02005296,30
E02005297,36
E02005298,49
E02005299,108
E02005300,20
E02005301,35
E02005302,44
E02005303,30
E02005304,13
E02005305,21
E02005306,24
E02005307,50
E02005308,38
E02005309,42
E02005310,49
E02005311,26
E02005312,11
E02005313,18
E02005314,31
E02005315,39
E02005316,18
E02005317,29
E02005318,30
E02005319,22
E02005320,21
E02005321,21
E02005322,4
E02005323,24
E02005324,14
E02005325,14
E02005326,28
E02005327,1
E02005328,25
E02005329,26
E02005330,27
E02005331,40
E02005332,34
E02005702,3
E02005703,2
E02005704,5
E02005705,3
E02005706,2
E02005707,2
E02005708,1
E02005709,39
E02005710,52
E02005711,46
E02005712,40
E02005713,45
E02005714,67
E02005715,83
E02005716,67
E02005717,46
E02005718,65
E02005719,47
E02005720,4
E02005721,16
E02005722,2
E02005723,73
E02005724,59
E02005725,18
