msoa,index-of-transport-accessibility
E02005324,174
E02005325,205
E02005326,120
E02005327,230
E02005328,148
E02005329,135
E02005330,160
E02005331,216
E02005332,231
E02005702,108
E02005703,117
E02005704,130
E02005705,136
E02005706,5
E02005707,5
E02005708,12
E02005709,212
E02005710,198
E02005711,205
E02005712,207
E02005713,204
E02005714,232
E02005715,234
E02005716,242
E02005717,224
E02005718,254
E02005719,252
E02005720,202
E02005721,219
E02005722,225
E02005723,213
E02005724,221
E02005725,245
E02005726,245
E02005727,75
E02005728,71
E02005729,224
E02005730,185
E02005731,226
E02005732,223
E02005733,165
E02005734,204
E02005735,199
E02005736,210
E02005737,192
E02005738,202
E02005739,198
E02005740,214
E02005741,212
E02005742,111
E02005743,111
E02005744,104
E02005745,169
E02005746,169
E02005747,172
E02005748,208
E02005749,187
E02005750,232
E02005751,227
E02005752,221
E02005753,209
E02005754,201
E02005755,275
E02005756,367
E02005757,309
E02005758,290
E02005759,144
E02005760,224
E02005761,115
E02005762,256
E02005763,436
E02005764,324
E02005765,455
E02005766,78
E02005767,300
E02005768,247
E02005769,391
E02005770,213
E02005771,190
E02005772,429
E02005773,239
E02005774,316
E02005775,218
E02005776,466
E02005777,363
E02005778,230
E02005779,259
E02005780,248
E02005781,375
E02005782,345
E02005783,233
E02005784,286
E02005785,209
E02005786,59
E02005787,122
E02005788,58
E02005789,56
E02005790,107
E02005791,49
E02005794,83
E02005795,41
E02005796,72
E02005797,41
E02005798,20
E02005799,26
E02005800,26
E02005801,25
E02005802,26
E02005803,26
E02005804,26
E02005805,25
E02005806,26
E02005807,28
E02005808,22
E02005809,461
E02005810,1
E02005811,210
E02005812,459
E02005813,253
E02005814,303
E02005815,375
E02005816,401
E02005817,562
E02005818,559
E02006803,277
E02006811,265
E02006812,305
E02006813,191
E02006814,148
E02006841,307
E02006842,304
E02006843,285
E02006844,249
E02006852,354
E02006860,889
E02006861,486
E02006868,350
E02006869,316
E02006870,54
E02006871,238
E02006875,620
E02006876,693
E02006881,564
E02006884,570
E02006891,60
E02006892,75
E02006893,265
E02006902,694
E02006909,299
E02006910,220
E02006912,773
E02006913,735
E02006914,785
E02006915,760
E02006916,801
E02006917,804
E02006932,485
E02006933,357
E02006934,364
